Text,Sentiment,Timestamp,Likes,Retweets,Hashtags,Platform,Country
 Enjoying a beautiful day at the park!              ,Positive,2023-01-15 12:30:00,30.0,15.0,#Nature #Park,Twitter,USA
 Traffic was terrible this morning.                 ,Negative,2023-01-15 08:45:00,10.0,5.0,#Traffic #Morning,Twitter,Canada
 Just finished an amazing workout! 💪               ,Positive,2023-01-15 15:45:00,40.0,20.0,#Fitness #Workout,Instagram,USA
 Excited about the upcoming weekend getaway!        ,Positive,2023-01-15 18:20:00,15.0,8.0,#Travel #Adventure,Facebook,UK
 Trying out a new recipe for dinner tonight.        ,Neutral,2023-01-15 19:55:00,25.0,12.0,#Cooking #Food,Instagram,Australia
 Feeling grateful for the little things in life.    ,Positive,2023-01-16 09:10:00,50.0,25.0,#Gratitude #PositiveVibes,Twitter,India
 Rainy days call for cozy blankets and hot cocoa.   ,Positive,2023-01-16 14:45:00,20.0,10.0,#RainyDays #Cozy,Facebook,Canada
 The new movie release is a must-watch!             ,Positive,2023-01-16 19:30:00,30.0,15.0,#MovieNight #MustWatch,Instagram,USA
 Political discussions heating up on the timeline.  ,Negative,2023-01-17 08:00:00,60.0,30.0,#Politics #Debate,Twitter,USA
 Missing summer vibes and beach days.               ,Neutral,2023-01-17 12:20:00,35.0,18.0,#Summer #BeachDays,Facebook,Australia
 Just published a new blog post. Check it out!      ,Positive,2023-01-17 15:15:00,45.0,22.0,#Blogging #NewPost,Instagram,USA
 Feeling a bit under the weather today.             ,Negative,2023-01-18 10:30:00,15.0,7.0,#SickDay #Health,Twitter,Canada
 Exploring the city's hidden gems.                  ,Positive,2023-01-18 14:50:00,25.0,12.0,#CityExplore #HiddenGems,Facebook,UK
" New year, new fitness goals! 💪                    ",Positive,2023-01-18 18:00:00,55.0,28.0,#NewYear #FitnessGoals,Instagram,USA
 Technology is changing the way we live.            ,Neutral,2023-01-19 09:45:00,30.0,15.0,#Tech #Innovation,Twitter,India
 Reflecting on the past and looking ahead.          ,Positive,2023-01-19 13:20:00,40.0,20.0,#Reflection #Future,Facebook,USA
 Just adopted a cute furry friend! 🐾              ,Positive,2023-01-19 17:10:00,30.0,15.0,#PetAdoption #FurryFriend,Instagram,Canada
